[ECU_NORMAL] Avvio ECU (role=NORMAL, id=0x200)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=B29C50FC98D05C18 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=3250D6760CB93238 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=3AA324EFE5EEABA8 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=6BA8B8CD0A3AAD5C (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=3FEDB7B5A53788E2 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=A4F5B6ABB007946B (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=CA1E20BCCB57875A (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=2EE00DD80BE0835E (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=FF2F139EAAB27262 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=F4F3EA7C1ED80D23 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=A9940363D789DB94 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=6AC3A9464519875B (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=C0A0A7CBFF54C85B (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=5736A053D748B2A8 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=8F31533F842E8070 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=F8FC87947CEA775B (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=5925018EC14F3F0F (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=7C9CED3C732E9FB2 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=62B5A210755A7BC9 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=538D5A8F4D207FFD (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=BB8A796C2FD1AF17 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=DF983EC2C20BFDE9 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=569AF87F1705DAEF (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=4CE169C6247A8416 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=926C62A47C888C6F (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=C59E0485370680F5 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=92DB2388FD4847EB (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=C43C929ADC662B59 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=2D14C300D3A0E1E8 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=E2392FF77119CB14 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=C5A307848F3447FF (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=9547E82A821BAA55 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=622CC05FCA166A62 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=C27B67805551C477 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=3B858979558C8B7D (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=DCF54D875D3A9D54 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=FC2169A8CC34D34A (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=FE0F573141F7BF87 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=35023D3238942FC6 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=38485E864DE38CA0 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=70B4DE6FA335A5CF (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=D466F0C0EDDAB5BD (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=6D3B9EAFCD19929D (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=B6FE137866E3EE51 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=37F6B363E28ECA42 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=2C758A7EF17C82B5 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=C97696C7B13A58FB (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=C8513A8274F56F37 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=A374842151C4645D (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=63BFC2F878995402 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=41789423E0469217 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=6AF14EB82D38DF4E (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=8B83B9D935138166 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=D58C174136C3F14B (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=244E00A26783BB3C (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=DF162678C5196F09 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=EB0AE7F7BA63B241 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=99059C2E654CA0DA (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=C3346AEC28B183D1 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=1B7E10EE368A6FF8 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=4B0CF5408E17DC52 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=8F2A3ACB89079934 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=2AF25F62499A8D91 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=1988B330627804D4 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=9FAED4544EB77F24 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=811B81B0DA910106 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=2AAAA3DE9C4F733F (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=A83544D6C034CCEF (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=29707FBF65F3DE4B (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=056CDDD77359D992 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=796C74B8436E836D (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=0E34DD3E9F9D1448 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG PASSIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=194040AC9C061493 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=AD44C5B2E88DFA7F (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Arrestata. TEC=0, REC=0, state=ERROR_ACTIVE
